M,ebn0_db,theory_bit,theory_symb,sim_bit,sim_symb
2,0,0.15865525393145707,0.15865525393145707,0.2923084591994417,0.2923230309072782
2,1,0.1309272967555245,0.1309272967555245,0.2539255271422162,0.25391326021934196
2,2,0.10402863708538868,0.10402863708538868,0.22042769552863767,0.2204137587238285
2,3,0.07889587198172443,0.07889587198172443,0.1803000847415383,0.18030907278165503
2,4,0.05649530174936167,0.05649530174936167,0.1385773391156971,0.13858424725822532
2,5,0.03767898814746343,0.03767898814746343,0.09510991475998205,0.09511465603190429
2,6,0.023007138877866026,0.023007138877866026,0.06637256368077364,0.06637587238285145
2,7,0.012587033122144622,0.012587033122144622,0.03731120083744579,0.03731306081754736
2,8,0.006004386400163564,0.006004386400163564,0.0185683664822292,0.01856929212362911
2,9,0.0024133104196338647,0.0024133104196338647,0.008698469667514083,0.00869890329012961
2,10,0.000782701129001274,0.000782701129001274,0.003813369223867205,0.0038135593220338985
4,0,0.15729920705028516,0.23594881057542774,0.263770499975076,0.4123629112662014
4,1,0.11256390395308295,0.16884585592962442,0.23408603758536464,0.3622632103688933
4,2,0.07501225671785197,0.11251838507677796,0.19109216888490105,0.29621136590229313
4,3,0.04575681512217069,0.06863522268325603,0.1495688151139026,0.23220338983050848
4,4,0.025001636081475136,0.0375024541222127,0.10884302876227506,0.16819541375872382
4,5,0.011907734295557325,0.017861601443335987,0.07297741887243907,0.1115653040877368
4,6,0.004776581561865614,0.007164872342798421,0.048103284980808535,0.07148554336989033
4,7,0.0015453496307568891,0.0023180244461353337,0.027765315786850108,0.04002991026919242
4,8,0.0003818155481519863,0.0005727233222279795,0.013658342056726983,0.019491525423728815
4,9,6.72544568392352e-05,0.0001008816852588528,0.005931907681571208,0.008175473579262214
4,10,7.7442164310441e-06,1.1616324646566149e-05,0.0029908778226409452,0.004087736789631107
8,0,0.16652903332710092,0.2914258083224266,0.2756592393200738,0.5197397936294302
8,1,0.10393739206726713,0.18189043611771746,0.23154379143611983,0.4407806191117093
8,2,0.05843746482897155,0.10226556345070022,0.18944718608244854,0.3641393749065351
8,3,0.02884321382533376,0.05047562419433408,0.14917003140421714,0.28375953342305965
8,4,0.012097919626501445,0.021171359346377528,0.10395792831862818,0.1946313743083595
8,5,0.004139034976656656,0.007243311209149148,0.0708838043965904,0.13159862419620158
8,6,0.0010969349912884239,0.0019196362347547419,0.04733064154329296,0.08411843876177658
8,7,0.00021100236207940165,0.0003692541336389529,0.02435073027266836,0.04262000897263347
8,8,2.7138875527143833e-05,4.749303217250171e-05,0.011016399980060815,0.01854344250037386
8,9,2.1047582928051388e-06,3.683327012408993e-06,0.004411544788395394,0.007477194556602363
8,10,8.640926115655013e-08,1.5121620702396273e-07,0.0018194506754399082,0.0029908778226409452
16,0,0.18200105558543372,0.34125197922268824,0.29143611983450474,0.6286141575274178
16,1,0.09932010683288067,0.18622520031165127,0.25120881311998405,0.5464606181455633
16,2,0.04722932694924213,0.088554988029829,0.1969243806390509,0.44007976071784644
16,3,0.018907814808751842,0.0354521527664097,0.1502417626239968,0.3386839481555334
16,4,0.006102041736761657,0.011441328256428107,0.1042071681371816,0.2382851445663011
16,5,0.001502977524864667,0.0028180828591212507,0.06475250486017646,0.15174476570289133
16,6,0.00026370920793468167,0.0004944547648775281,0.036239469617666116,0.08534396809571286
16,7,3.0217057523237596e-05,5.665698285607049e-05,0.01794526693584567,0.041176470588235294
16,8,2.0266461781509724e-06,3.7999615840330733e-06,0.006953790937640198,0.015154536390827518
16,9,6.930937704253829e-08,1.299550819547593e-07,0.002841333931508898,0.006380857427716849
16,10,1.0158514357883427e-09,1.9047214421031425e-09,0.0008474153830816011,0.002093718843469591
