mod_scheme,M,ebn0_db,Pb_sim,Pe_sim,Pb_theory,Pe_theory,coded
fsk,16,4,0.00481,0.00944,0.006102041736761658,0.011441328256428109,False
fsk,16,5,0.00121,0.00216,0.0015029775248646669,0.0028180828591212502,False
fsk,16,6,0.00027,0.00052,0.00026370920793468167,0.0004944547648775281,False
fsk,16,7,0.0,0.0,3.0217057523237596e-05,5.665698285607049e-05,False
fsk,16,8,0.0,0.0,2.0266461781509733e-06,3.799961584033075e-06,False
fsk,16,9,0.0,0.0,6.93093770425383e-08,1.2995508195475932e-07,False
fsk,16,10,0.0,0.0,1.0158514357883423e-09,1.9047214421031417e-09,False
psk,8,0,0.12861,0.3500135001350014,0.1161878553326204,0.3485635659978612,True
psk,8,1,0.10636,0.2946629466294663,0.09763706378539523,0.2929111913561857,True
psk,8,2,0.08579,0.24405244052440525,0.07932141777736901,0.23796425333210702,True
psk,8,3,0.0665,0.19152191521915218,0.0618251345896678,0.1854754037690034,True
psk,8,4,0.04847,0.14130141301413013,0.045790942734672414,0.13737282820401725,True
psk,8,5,0.03339,0.0982509825098251,0.03184330336407077,0.0955299100922123,True
psk,8,6,0.02117,0.06246062460624606,0.020479923891202897,0.061439771673608694,True
psk,8,7,0.01279,0.03801038010380104,0.011952769488034592,0.035858308464103775,True
psk,8,8,0.00642,0.01917019170191702,0.006181051750685379,0.01854315525205614,True
psk,8,9,0.00289,0.008670086700867009,0.00274813352965267,0.00824440058895801,True
psk,8,10,0.00096,0.0028800288002880027,0.0010113953207128916,0.0030341859621386747,True
